,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063,F064,F065,F066,F067,F068,F069,F070,F071,F072,F073,F074,F075,F076,F077,F078,F079,F080,F081,F082,F083,F084,F085,F086,F087,F088,F089,F090,F091,F092,F093,F094,F095,F096,F097,F098,F099,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F125,F126,F127,F128,F129,F130,F131,F132,F133,F134,F135,F136,F137,F138,F139,F140,F141,F142,F143,F144,F145,class
5fhb_L,   5.00000,   4.60000,  35.00000,  32.40000,  63.00000,  58.30000,   0.00000,   0.00000,   1.00000,   0.90000,   1.00000,   0.90000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   8.00000,   7.40000,  11.00000,  10.20000,   1.00000,   0.90000,   0.00000,   0.00000,6216.60000,   0.00000, 272.00000,1651.00000, 299.00000,   0.00000,1299.00000, 772.00000,1926.00000,   0.36748,   0.33557,   0.17720,   0.40662,   0.33383,   0.38679,   0.08123,   0.40104,   0.43103,   0.39911,   0.00000,   0.19837,   0.19064,   0.56046,   0.28074,   0.15516,   0.58192,   0.39502,   0.34130,   0.21083,   0.26695,   0.36450,4262.78000,1608.15000,1242.40000, 629.82000,3020.38000, 978.33000,   0.00000,   3.00000,   2.00000,   4.00000,   0.00000,   5.00000,   3.00000,   7.00000,   0.00000,   1.00000,   1.00000,   4.00000,   0.00000,   0.00000,   7.00000,   6.00000,   4.00000,   1.00000,   1.00000,   3.00000,   3.00000,   0.00000,   2.00000,   2.00000,   3.00000,   4.00000,   0.00000,   5.00000,   0.00000,   3.00000,   6.00000,   0.00000,   1.00000,   4.00000,   0.00000,   6.00000,   8.00000,   1.00000,   4.00000,   3.00000,   0.00000,   0.02804,   0.01869,   0.03738,   0.00000,   0.04673,   0.02804,   0.06542,   0.00000,   0.00935,   0.00935,   0.03738,   0.00000,   0.00000,   0.06542,   0.05607,   0.03738,   0.00935,   0.00935,   0.02804,   0.02804,   0.00000,   0.01869,   0.01869,   0.02804,   0.03738,   0.00000,   0.04673,   0.00000,   0.02804,   0.05607,   0.00000,   0.00935,   0.03738,   0.00000,   0.05607,   0.07477,   0.00935,   0.03738,   0.02804,-1
5ezj_B,   0.00000,   0.00000,  28.00000,  32.60000,  49.00000,  57.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   1.20000,   1.00000,   1.20000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   8.00000,   9.30000,   8.00000,   9.30000,   1.00000,   1.20000,   0.00000,   0.00000,5741.50000,   0.00000, 195.00000,1510.00000, 208.00000,   0.00000,1155.00000, 608.00000,2067.00000,   0.41175,   0.38819,   0.34511,   0.43569,   0.32825,   0.40483,   0.15578,   0.46966,   0.85711,   0.48772,   0.00000,   0.24810,   0.41929,   0.51480,   0.36484,   0.25580,   0.68274,   0.44548,   0.35025,   0.14088,   0.25860,   0.34725,4440.30000, 974.12000,1610.95000, 444.94000,2829.35000, 529.18000,   3.00000,   4.00000,   2.00000,   4.00000,   0.00000,   5.00000,   1.00000,   4.00000,   0.00000,   1.00000,   3.00000,   4.00000,   1.00000,   1.00000,   4.00000,   6.00000,   6.00000,   0.00000,   1.00000,   5.00000,   3.00000,   0.00000,   0.00000,   1.00000,   1.00000,   1.00000,   0.00000,   2.00000,   0.00000,   4.00000,   2.00000,   0.00000,   0.00000,   4.00000,   0.00000,   3.00000,   4.00000,   1.00000,   3.00000,   2.00000,   0.03488,   0.04651,   0.02326,   0.04651,   0.00000,   0.05814,   0.01163,   0.04651,   0.00000,   0.01163,   0.03488,   0.04651,   0.01163,   0.01163,   0.04651,   0.06977,   0.06977,   0.00000,   0.01163,   0.05814,   0.03488,   0.00000,   0.00000,   0.01163,   0.01163,   0.01163,   0.00000,   0.02326,   0.00000,   0.04651,   0.02326,   0.00000,   0.00000,   0.04651,   0.00000,   0.03488,   0.04651,   0.01163,   0.03488,   0.02326,-1
5ezi_L,   0.00000,   0.00000,  28.00000,  32.60000,  50.00000,  58.10000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   1.20000,   1.00000,   1.20000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   8.00000,   9.30000,   9.00000,  10.50000,   1.00000,   1.20000,   0.00000,   0.00000,5752.50000,   0.00000, 203.00000,1531.00000, 206.00000,   0.00000,1147.00000, 600.00000,2064.00000,   0.41616,   0.38830,   0.34860,   0.43302,   0.32959,   0.42169,   0.16074,   0.47515,   0.86113,   0.48690,   0.00000,   0.24804,   0.40919,   0.51646,   0.37043,   0.25623,   0.68474,   0.44745,   0.35571,   0.14581,   0.25981,   0.35059,4452.12000, 994.78000,1596.08000, 459.17000,2856.04000, 535.61000,   3.00000,   4.00000,   2.00000,   4.00000,   0.00000,   5.00000,   1.00000,   4.00000,   0.00000,   1.00000,   3.00000,   4.00000,   1.00000,   1.00000,   4.00000,   6.00000,   6.00000,   0.00000,   1.00000,   5.00000,   3.00000,   0.00000,   0.00000,   1.00000,   1.00000,   1.00000,   0.00000,   2.00000,   0.00000,   4.00000,   2.00000,   0.00000,   0.00000,   4.00000,   0.00000,   3.00000,   4.00000,   1.00000,   3.00000,   2.00000,   0.03488,   0.04651,   0.02326,   0.04651,   0.00000,   0.05814,   0.01163,   0.04651,   0.00000,   0.01163,   0.03488,   0.04651,   0.01163,   0.01163,   0.04651,   0.06977,   0.06977,   0.00000,   0.01163,   0.05814,   0.03488,   0.00000,   0.00000,   0.01163,   0.01163,   0.01163,   0.00000,   0.02326,   0.00000,   0.04651,   0.02326,   0.00000,   0.00000,   0.04651,   0.00000,   0.03488,   0.04651,   0.01163,   0.03488,   0.02326,-1
5drz_L,   6.00000,   5.20000,  41.00000,  35.70000,  72.00000,  62.60000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   1.00000,   0.90000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,  13.00000,  11.30000,   7.00000,   6.10000,   2.00000,   1.70000,   0.00000,   0.00000,6602.70000,   0.00000, 196.00000,1981.00000, 172.00000,   0.00000,1199.00000,1018.00000,2037.00000,   0.37513,   0.33335,   0.28249,   0.48621,   0.51253,   0.39327,   0.07085,   0.34834,   0.48751,   0.40819,   0.43731,   0.14984,   0.19456,   0.46990,   0.24293,   0.25802,   0.55976,   0.32822,   0.40208,   0.12723,   0.18080,   0.35029,4836.24000,1611.90000,1424.24000, 720.76000,3412.00000, 891.14000,   3.00000,   9.00000,   2.00000,   3.00000,   0.00000,   3.00000,   3.00000,   5.00000,   1.00000,   0.00000,   1.00000,   2.00000,   0.00000,   1.00000,   4.00000,   6.00000,   7.00000,   0.00000,   0.00000,   3.00000,   6.00000,   0.00000,   1.00000,   1.00000,   2.00000,   4.00000,   0.00000,   3.00000,   1.00000,   4.00000,   8.00000,   0.00000,   1.00000,   3.00000,   0.00000,   5.00000,   5.00000,   2.00000,   6.00000,   4.00000,   0.02752,   0.08257,   0.01835,   0.02752,   0.00000,   0.02752,   0.02752,   0.04587,   0.00917,   0.00000,   0.00917,   0.01835,   0.00000,   0.00917,   0.03670,   0.05505,   0.06422,   0.00000,   0.00000,   0.02752,   0.05505,   0.00000,   0.00917,   0.00917,   0.01835,   0.03670,   0.00000,   0.02752,   0.00917,   0.03670,   0.07339,   0.00000,   0.00917,   0.02752,   0.00000,   0.04587,   0.04587,   0.01835,   0.05505,   0.03670,-1
5drz_A,   6.00000,   5.20000,  43.00000,  37.40000,  74.00000,  64.30000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   1.00000,   0.90000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,  12.00000,  10.40000,   7.00000,   6.10000,   2.00000,   1.70000,   1.00000,   0.90000,6645.40000,   0.00000,   0.00000,2390.00000, 178.00000,   0.00000,1336.00000,1022.00000,1719.00000,   0.37974,   0.33689,   0.28217,   0.48531,   0.51335,   0.40979,   0.07345,   0.35398,   0.48613,   0.40933,   0.44362,   0.15174,   0.20107,   0.46993,   0.24420,   0.27707,   0.56721,   0.34000,   0.40577,   0.12458,   0.17952,   0.35040,4868.62000,1649.90000,1431.17000, 740.98000,3437.45000, 908.92000,   3.00000,   9.00000,   2.00000,   3.00000,   0.00000,   3.00000,   3.00000,   5.00000,   1.00000,   0.00000,   1.00000,   2.00000,   0.00000,   1.00000,   4.00000,   6.00000,   7.00000,   0.00000,   0.00000,   3.00000,   6.00000,   0.00000,   1.00000,   1.00000,   2.00000,   4.00000,   0.00000,   3.00000,   1.00000,   4.00000,   8.00000,   0.00000,   1.00000,   3.00000,   0.00000,   5.00000,   5.00000,   2.00000,   6.00000,   4.00000,   0.02752,   0.08257,   0.01835,   0.02752,   0.00000,   0.02752,   0.02752,   0.04587,   0.00917,   0.00000,   0.00917,   0.01835,   0.00000,   0.00917,   0.03670,   0.05505,   0.06422,   0.00000,   0.00000,   0.02752,   0.05505,   0.00000,   0.00917,   0.00917,   0.01835,   0.03670,   0.00000,   0.02752,   0.00917,   0.03670,   0.07339,   0.00000,   0.00917,   0.02752,   0.00000,   0.04587,   0.04587,   0.01835,   0.05505,   0.03670,-1
5dk3_F,   4.00000,   3.60000,  42.00000,  38.20000,  70.00000,  63.60000,   1.00000,   0.90000,   0.00000,   0.00000,   2.00000,   1.80000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  10.00000,   9.10000,   9.00000,   8.20000,   2.00000,   1.80000,   0.00000,   0.00000,5806.80000,   0.00000,   0.00000,2293.00000, 189.00000,   0.00000,1048.00000, 878.00000,1401.00000,   0.33372,   0.33930,   0.32842,   0.40847,   0.00000,   0.33712,   0.07481,   0.33726,   0.50197,   0.45642,   0.15405,   0.22716,   0.22356,   0.48341,   0.00000,   0.16850,   0.61395,   0.34841,   0.31417,   0.07172,   0.22022,   0.23689,3987.39000,1645.83000,1452.06000, 730.87000,2535.33000, 914.96000,   3.00000,   5.00000,   0.00000,   1.00000,   0.00000,   1.00000,   6.00000,   7.00000,   0.00000,   1.00000,   3.00000,   3.00000,   0.00000,   0.00000,   7.00000,   8.00000,   4.00000,   0.00000,   2.00000,   1.00000,   4.00000,   0.00000,   0.00000,   2.00000,   2.00000,   4.00000,   0.00000,   4.00000,   2.00000,   3.00000,  10.00000,   0.00000,   0.00000,   4.00000,   0.00000,   8.00000,   5.00000,   1.00000,   5.00000,   4.00000,   0.02727,   0.04545,   0.00000,   0.00909,   0.00000,   0.00909,   0.05455,   0.06364,   0.00000,   0.00909,   0.02727,   0.02727,   0.00000,   0.00000,   0.06364,   0.07273,   0.03636,   0.00000,   0.01818,   0.00909,   0.03636,   0.00000,   0.00000,   0.01818,   0.01818,   0.03636,   0.00000,   0.03636,   0.01818,   0.02727,   0.09091,   0.00000,   0.00000,   0.03636,   0.00000,   0.07273,   0.04545,   0.00909,   0.04545,   0.03636,-1
5dk3_A,   4.00000,   3.60000,  43.00000,  39.10000,  73.00000,  66.40000,   0.00000,   0.00000,   0.00000,   0.00000,   2.00000,   1.80000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  13.00000,  11.80000,   9.00000,   8.20000,   1.00000,   0.90000,   0.00000,   0.00000,5650.20000,   0.00000,   0.00000,2124.00000, 201.00000,   0.00000, 991.00000, 932.00000,1404.00000,   0.32963,   0.33300,   0.32280,   0.40580,   0.00000,   0.33654,   0.07329,   0.33355,   0.48011,   0.44576,   0.15513,   0.19127,   0.22522,   0.47124,   0.00000,   0.17630,   0.60238,   0.34273,   0.32039,   0.06965,   0.21178,   0.24104,3890.87000,1653.59000,1436.77000, 707.63000,2454.10000, 945.96000,   3.00000,   5.00000,   0.00000,   1.00000,   0.00000,   1.00000,   6.00000,   8.00000,   0.00000,   1.00000,   3.00000,   3.00000,   0.00000,   0.00000,   7.00000,   7.00000,   4.00000,   0.00000,   2.00000,   1.00000,   4.00000,   0.00000,   0.00000,   2.00000,   2.00000,   4.00000,   0.00000,   3.00000,   2.00000,   3.00000,  10.00000,   0.00000,   0.00000,   4.00000,   0.00000,   9.00000,   5.00000,   1.00000,   5.00000,   4.00000,   0.02727,   0.04545,   0.00000,   0.00909,   0.00000,   0.00909,   0.05455,   0.07273,   0.00000,   0.00909,   0.02727,   0.02727,   0.00000,   0.00000,   0.06364,   0.06364,   0.03636,   0.00000,   0.01818,   0.00909,   0.03636,   0.00000,   0.00000,   0.01818,   0.01818,   0.03636,   0.00000,   0.02727,   0.01818,   0.02727,   0.09091,   0.00000,   0.00000,   0.03636,   0.00000,   0.08182,   0.04545,   0.00909,   0.04545,   0.03636,-1
5cey_A,   8.00000,   7.30000,  29.00000,  26.40000,  64.00000,  58.20000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  15.00000,  13.60000,   7.00000,   6.40000,   2.00000,   1.80000,   0.00000,   0.00000,6489.20000,   0.00000, 147.00000,1392.00000,  90.00000,   0.00000,1212.00000, 784.00000,2866.00000,   0.38302,   0.41657,   0.29324,   0.45115,   0.24296,   0.41586,   0.12811,   0.41874,   0.44400,   0.49198,   0.24046,   0.21800,   0.26443,   0.00000,   0.09691,   0.24015,   0.58457,   0.49627,   0.28287,   0.36925,   0.22471,   0.22998,5143.30000,1425.61000,2070.59000, 601.89000,3072.71000, 823.72000,   2.00000,   8.00000,   1.00000,   3.00000,   0.00000,   3.00000,   4.00000,  11.00000,   0.00000,   1.00000,   3.00000,   0.00000,   0.00000,   1.00000,   7.00000,   9.00000,   2.00000,   1.00000,   1.00000,   1.00000,   7.00000,   1.00000,   1.00000,   2.00000,   2.00000,   3.00000,   0.00000,   1.00000,   2.00000,   4.00000,   5.00000,   0.00000,   1.00000,   1.00000,   0.00000,   2.00000,   5.00000,   2.00000,   4.00000,   4.00000,   0.01905,   0.07619,   0.00952,   0.02857,   0.00000,   0.02857,   0.03810,   0.10476,   0.00000,   0.00952,   0.02857,   0.00000,   0.00000,   0.00952,   0.06667,   0.08571,   0.01905,   0.00952,   0.00952,   0.00952,   0.06667,   0.00952,   0.00952,   0.01905,   0.01905,   0.02857,   0.00000,   0.00952,   0.01905,   0.03810,   0.04762,   0.00000,   0.00952,   0.00952,   0.00000,   0.01905,   0.04762,   0.01905,   0.03810,   0.03810,-1
5cex_C,   5.00000,   4.50000,  28.00000,  25.00000,  63.00000,  56.20000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  14.00000,  12.50000,   8.00000,   7.10000,   1.00000,   0.90000,   0.00000,   0.00000,6329.70000,   0.00000, 159.00000,1335.00000,  83.00000,   0.00000,1298.00000, 780.00000,2675.00000,   0.35216,   0.39460,   0.30101,   0.43358,   0.24204,   0.41394,   0.08733,   0.37374,   0.42323,   0.45140,   0.22620,   0.17657,   0.30186,   0.37105,   0.09468,   0.19850,   0.57068,   0.38730,   0.30223,   0.34132,   0.14031,   0.22885,4533.10000,1590.14000,1921.39000, 576.80000,2611.71000,1013.34000,   2.00000,   6.00000,   1.00000,   2.00000,   0.00000,   3.00000,   3.00000,   9.00000,   0.00000,   1.00000,   3.00000,   2.00000,   0.00000,   0.00000,   8.00000,   6.00000,   4.00000,   1.00000,   0.00000,   2.00000,   5.00000,   1.00000,   1.00000,   3.00000,   2.00000,   5.00000,   1.00000,   4.00000,   1.00000,   3.00000,   4.00000,   0.00000,   1.00000,   2.00000,   0.00000,   5.00000,   4.00000,   2.00000,   4.00000,   5.00000,   0.01887,   0.05660,   0.00943,   0.01887,   0.00000,   0.02830,   0.02830,   0.08491,   0.00000,   0.00943,   0.02830,   0.01887,   0.00000,   0.00000,   0.07547,   0.05660,   0.03774,   0.00943,   0.00000,   0.01887,   0.04717,   0.00943,   0.00943,   0.02830,   0.01887,   0.04717,   0.00943,   0.03774,   0.00943,   0.02830,   0.03774,   0.00000,   0.00943,   0.01887,   0.00000,   0.04717,   0.03774,   0.01887,   0.03774,   0.04717,-1
5cck_L,   7.00000,   6.20000,  38.00000,  33.90000,  69.00000,  61.60000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   2.00000,   1.80000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   8.00000,   7.10000,   9.00000,   8.00000,   3.00000,   2.70000,   1.00000,   0.90000,6208.80000,   0.00000, 284.00000,1723.00000, 194.00000,   0.00000,1652.00000, 585.00000,1770.00000,   0.36869,   0.34436,   0.34623,   0.55231,   0.40799,   0.51342,   0.10225,   0.43654,   0.31742,   0.41185,   0.36832,   0.17781,   0.20289,   0.57807,   0.00000,   0.17964,   0.60020,   0.29439,   0.27776,   0.08106,   0.25604,   0.36376,4469.28000,1476.39000,1464.21000, 598.95000,3005.06000, 877.44000,   3.00000,   3.00000,   2.00000,   4.00000,   0.00000,   4.00000,   2.00000,   8.00000,   1.00000,   1.00000,   1.00000,   6.00000,   0.00000,   0.00000,   7.00000,   4.00000,   2.00000,   0.00000,   2.00000,   3.00000,   4.00000,   0.00000,   0.00000,   1.00000,   3.00000,   3.00000,   0.00000,   5.00000,   0.00000,   6.00000,   6.00000,   0.00000,   0.00000,   2.00000,   0.00000,  10.00000,   6.00000,   1.00000,   5.00000,   2.00000,   0.02804,   0.02804,   0.01869,   0.03738,   0.00000,   0.03738,   0.01869,   0.07477,   0.00935,   0.00935,   0.00935,   0.05607,   0.00000,   0.00000,   0.06542,   0.03738,   0.01869,   0.00000,   0.01869,   0.02804,   0.03738,   0.00000,   0.00000,   0.00935,   0.02804,   0.02804,   0.00000,   0.04673,   0.00000,   0.05607,   0.05607,   0.00000,   0.00000,   0.01869,   0.00000,   0.09346,   0.05607,   0.00935,   0.04673,   0.01869,-1
5bvp_L,   5.00000,   4.50000,  41.00000,  37.30000,  68.00000,  61.80000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   8.00000,   7.30000,   8.00000,   7.30000,   1.00000,   0.90000,   0.00000,   0.00000,6326.80000,   0.00000,   0.00000,2299.00000, 182.00000,   0.00000,1196.00000, 761.00000,1882.00000,   0.35482,   0.33065,   0.25269,   0.52441,   0.32656,   0.42231,   0.07045,   0.36534,   0.59767,   0.32866,   0.17476,   0.17868,   0.20775,   0.44128,   0.00000,   0.24809,   0.57092,   0.34551,   0.32250,   0.07471,   0.16005,   0.39307,4318.91000,1694.98000,1329.55000, 714.14000,2989.36000, 980.84000,   1.00000,   3.00000,   1.00000,   3.00000,   0.00000,   4.00000,   4.00000,   3.00000,   0.00000,   0.00000,   1.00000,   7.00000,   0.00000,   3.00000,   7.00000,   9.00000,   4.00000,   0.00000,   0.00000,   2.00000,   5.00000,   0.00000,   0.00000,   2.00000,   2.00000,   4.00000,   0.00000,   4.00000,   2.00000,   6.00000,   6.00000,   0.00000,   0.00000,   3.00000,   0.00000,   9.00000,   6.00000,   1.00000,   4.00000,   4.00000,   0.00909,   0.02727,   0.00909,   0.02727,   0.00000,   0.03636,   0.03636,   0.02727,   0.00000,   0.00000,   0.00909,   0.06364,   0.00000,   0.02727,   0.06364,   0.08182,   0.03636,   0.00000,   0.00000,   0.01818,   0.04545,   0.00000,   0.00000,   0.01818,   0.01818,   0.03636,   0.00000,   0.03636,   0.01818,   0.05455,   0.05455,   0.00000,   0.00000,   0.02727,   0.00000,   0.08182,   0.05455,   0.00909,   0.03636,   0.03636,-1
5bvj_G,   5.00000,   4.50000,  40.00000,  36.40000,  68.00000,  61.80000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   8.00000,   7.30000,   9.00000,   8.20000,   1.00000,   0.90000,   0.00000,   0.00000,6328.90000,   0.00000,   0.00000,2122.00000, 184.00000,   0.00000,1218.00000, 879.00000,1924.00000,   0.34912,   0.32782,   0.25650,   0.52790,   0.30452,   0.41846,   0.07300,   0.36413,   0.58518,   0.32495,   0.17394,   0.16777,   0.21113,   0.43205,   0.00000,   0.24084,   0.57319,   0.33387,   0.31991,   0.07507,   0.16408,   0.38369,4186.46000,1750.54000,1259.04000, 763.50000,2927.42000, 987.04000,   1.00000,   3.00000,   1.00000,   3.00000,   0.00000,   4.00000,   4.00000,   3.00000,   0.00000,   0.00000,   1.00000,   7.00000,   0.00000,   2.00000,   7.00000,   9.00000,   4.00000,   0.00000,   0.00000,   2.00000,   5.00000,   0.00000,   0.00000,   2.00000,   2.00000,   4.00000,   0.00000,   4.00000,   2.00000,   6.00000,   6.00000,   0.00000,   0.00000,   4.00000,   0.00000,   9.00000,   6.00000,   1.00000,   4.00000,   4.00000,   0.00909,   0.02727,   0.00909,   0.02727,   0.00000,   0.03636,   0.03636,   0.02727,   0.00000,   0.00000,   0.00909,   0.06364,   0.00000,   0.01818,   0.06364,   0.08182,   0.03636,   0.00000,   0.00000,   0.01818,   0.04545,   0.00000,   0.00000,   0.01818,   0.01818,   0.03636,   0.00000,   0.03636,   0.01818,   0.05455,   0.05455,   0.00000,   0.00000,   0.03636,   0.00000,   0.08182,   0.05455,   0.00909,   0.03636,   0.03636,-1
5bvj_E,   5.00000,   4.50000,  40.00000,  36.40000,  66.00000,  60.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   7.00000,   6.40000,   8.00000,   7.30000,   1.00000,   0.90000,   0.00000,   0.00000,6342.70000,   0.00000,   0.00000,2179.00000, 189.00000,   0.00000,1211.00000, 908.00000,1860.00000,   0.34981,   0.32711,   0.24344,   0.53946,   0.31076,   0.42459,   0.07233,   0.35983,   0.59031,   0.32080,   0.17288,   0.17371,   0.21348,   0.42992,   0.00000,   0.24330,   0.57438,   0.33430,   0.31949,   0.07771,   0.16402,   0.38584,4158.98000,1789.16000,1256.99000, 767.59000,2901.99000,1021.57000,   1.00000,   3.00000,   1.00000,   3.00000,   0.00000,   4.00000,   4.00000,   3.00000,   0.00000,   0.00000,   1.00000,   7.00000,   0.00000,   2.00000,   7.00000,   9.00000,   3.00000,   0.00000,   0.00000,   2.00000,   5.00000,   0.00000,   0.00000,   2.00000,   2.00000,   4.00000,   0.00000,   4.00000,   2.00000,   6.00000,   6.00000,   0.00000,   0.00000,   4.00000,   0.00000,   9.00000,   7.00000,   1.00000,   4.00000,   4.00000,   0.00909,   0.02727,   0.00909,   0.02727,   0.00000,   0.03636,   0.03636,   0.02727,   0.00000,   0.00000,   0.00909,   0.06364,   0.00000,   0.01818,   0.06364,   0.08182,   0.02727,   0.00000,   0.00000,   0.01818,   0.04545,   0.00000,   0.00000,   0.01818,   0.01818,   0.03636,   0.00000,   0.03636,   0.01818,   0.05455,   0.05455,   0.00000,   0.00000,   0.03636,   0.00000,   0.08182,   0.06364,   0.00909,   0.03636,   0.03636,-1
5bvj_C,   5.00000,   4.50000,  40.00000,  36.40000,  72.00000,  65.50000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  13.00000,  11.80000,   8.00000,   7.30000,   1.00000,   0.90000,   0.00000,   0.00000,6265.30000,   0.00000,   0.00000,2068.00000, 192.00000,   0.00000,1195.00000, 940.00000,1866.00000,   0.34669,   0.32197,   0.24154,   0.52354,   0.31860,   0.41533,   0.07300,   0.36022,   0.57575,   0.32386,   0.17611,   0.16257,   0.21219,   0.42279,   0.00000,   0.24170,   0.55248,   0.33578,   0.31551,   0.07670,   0.16267,   0.38560,4165.75000,1705.73000,1228.06000, 761.21000,2937.69000, 944.52000,   1.00000,   3.00000,   1.00000,   3.00000,   0.00000,   4.00000,   4.00000,   3.00000,   0.00000,   0.00000,   1.00000,   7.00000,   0.00000,   2.00000,   7.00000,  10.00000,   4.00000,   0.00000,   0.00000,   2.00000,   5.00000,   0.00000,   0.00000,   2.00000,   2.00000,   4.00000,   0.00000,   4.00000,   2.00000,   6.00000,   6.00000,   0.00000,   0.00000,   4.00000,   0.00000,   8.00000,   6.00000,   1.00000,   4.00000,   4.00000,   0.00909,   0.02727,   0.00909,   0.02727,   0.00000,   0.03636,   0.03636,   0.02727,   0.00000,   0.00000,   0.00909,   0.06364,   0.00000,   0.01818,   0.06364,   0.09091,   0.03636,   0.00000,   0.00000,   0.01818,   0.04545,   0.00000,   0.00000,   0.01818,   0.01818,   0.03636,   0.00000,   0.03636,   0.01818,   0.05455,   0.05455,   0.00000,   0.00000,   0.03636,   0.00000,   0.07273,   0.05455,   0.00909,   0.03636,   0.03636,-1
5bvj_A,   5.00000,   4.50000,  40.00000,  36.40000,  70.00000,  63.60000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   9.00000,   8.20000,   9.00000,   8.20000,   1.00000,   0.90000,   0.00000,   0.00000,6328.70000,   0.00000,   0.00000,2122.00000, 196.00000,   0.00000,1210.00000, 875.00000,1922.00000,   0.34912,   0.32581,   0.25005,   0.52937,   0.30726,   0.41826,   0.07256,   0.36202,   0.58566,   0.32996,   0.17394,   0.17281,   0.20990,   0.43153,   0.00000,   0.23683,   0.56895,   0.33550,   0.31830,   0.07515,   0.16414,   0.37411,4105.89000,1816.22000,1254.27000, 754.26000,2851.62000,1061.96000,   1.00000,   3.00000,   1.00000,   3.00000,   0.00000,   4.00000,   4.00000,   3.00000,   0.00000,   0.00000,   1.00000,   7.00000,   0.00000,   2.00000,   7.00000,   8.00000,   3.00000,   0.00000,   0.00000,   2.00000,   5.00000,   0.00000,   0.00000,   2.00000,   2.00000,   4.00000,   0.00000,   4.00000,   2.00000,   6.00000,   6.00000,   0.00000,   0.00000,   4.00000,   0.00000,  10.00000,   7.00000,   1.00000,   4.00000,   4.00000,   0.00909,   0.02727,   0.00909,   0.02727,   0.00000,   0.03636,   0.03636,   0.02727,   0.00000,   0.00000,   0.00909,   0.06364,   0.00000,   0.01818,   0.06364,   0.07273,   0.02727,   0.00000,   0.00000,   0.01818,   0.04545,   0.00000,   0.00000,   0.01818,   0.01818,   0.03636,   0.00000,   0.03636,   0.01818,   0.05455,   0.05455,   0.00000,   0.00000,   0.03636,   0.00000,   0.09091,   0.06364,   0.00909,   0.03636,   0.03636,-1
